,Gross pay,Phi-h,Position,Pressure,Production
0,0.1,0.5,2.1,19,15.1
1,1.0,4.0,1.1,16,21.3
2,1.9,19.0,1.0,14,22.75
3,3.1,21.7,2.1,17,15.72
4,4.1,24.6,2.9,11,7.71
5,4.9,39.2,1.1,12,22.67
6,5.9,23.6,2.1,13,18.11
7,7.0,63.0,2.0,13,24.3
8,8.1,72.9,2.9,14,24.04
9,8.9,35.6,2.8,16,25.11
10,10.0,100.0,2.2,16,36.8
11,11.1,77.7,2.0,14,36.42
12,11.9,71.4,2.9,20,39.59
13,13.0,117.0,1.1,16,51.6
14,14.1,141.0,1.2,14,48.05
15,15.1,105.7,1.0,17,51.72
16,15.9,79.5,1.1,20,59.2
17,16.0,160.0,1.2,17,58.3
18,17.1,85.5,1.9,14,41.8
19,18.0,90.0,2.8,18,44.2
20,19.1,114.6,2.1,10,37.51
