Gross pay,Phi-h,Position,Pressure,Random 1,Random 2,Gross pay transform,Production
       0.10,       0.50,       2.10,19,5,379,       3.54,      15.10
       1.00,       4.00,       1.10,16,13,269,       5.79,      21.30
       1.90,      19.00,       1.00,14,12,245,       8.51,      22.75
       3.10,      21.70,       2.10,17,6,273,      11.52,      15.72
       4.10,      24.60,       2.90,11,10,237,      10.16,       7.71
       4.90,      39.20,       1.10,12,7,278,      11.14,      22.67
       5.90,      23.60,       2.10,13,13,241,      15.04,      18.11
       7.00,      63.00,       2.00,13,20,269,      15.10,      24.30
       8.10,      72.90,       2.90,14,1,248,      14.49,      24.04
       8.90,      35.60,       2.80,16,1,210,      16.90,      25.11
      10.00,     100.00,       2.20,16,21,334,      16.61,      36.80
      11.10,      77.70,       2.00,14,1,340,      17.81,      36.42
      11.90,      71.40,       2.90,20,11,224,      19.74,      39.59
      13.00,     117.00,       1.10,16,9,338,      17.70,      51.60
      14.10,     141.00,       1.20,14,10,367,      19.16,      48.05
      15.10,     105.70,       1.00,17,3,363,      21.97,      51.72
      15.90,      79.50,       1.10,20,10,395,      22.15,      59.20
      16.00,     160.00,       1.20,17,15,295,      24.24,      58.30
      17.10,      85.50,       1.90,14,6,266,      23.58,      41.80
      18.00,      90.00,       2.80,18,19,210,      23.77,      44.20
      19.10,     114.60,       2.10,10,21,366,      29.25,      37.51
