DEPTH,
2013.25,0
2013.41,0
2013.56,0
2013.71,0
2013.86,0
2014.01,0
2014.17,0
2014.32,0
2014.47,0
2014.62,0
2014.78,0
2014.93,0
2015.08,0
2015.23,0
2015.39,0
2015.54,0
2015.69,0
2015.84,0
2016,0
2016.15,0
2016.3,0
2016.45,0
2016.61,0
2016.76,0
2016.91,0
2017.06,0
2017.22,0
2017.37,0
2017.52,0
2017.67,0
2017.82,0
2017.98,0
2018.13,0
2018.28,0
2018.43,0
2018.59,0
2018.74,0
2018.89,0
2019.04,0
2019.2,0
2019.35,0
2019.5,0
2019.65,0
2019.81,0
2019.96,0
2020.11,0
2020.26,0
2020.42,0
2020.57,0
2020.72,0
2020.87,0
2021.03,0
2021.18,0
2021.33,0
2021.48,0
2021.63,0
2021.79,0
2021.94,0
2022.09,0
2022.24,0
2022.4,0
2022.55,0
2022.7,0
2022.85,0
2023.01,0
2023.16,0
2023.31,0
2023.46,0
2023.62,0
2023.77,0
2023.92,0
2024.07,0
2024.23,0
2024.38,0
2024.53,0
2024.68,0
2024.84,0
2024.99,0
2025.14,0
2025.29,0
2025.44,0
2025.6,0
2025.75,0
2025.9,0
2026.05,0
2026.21,0
2026.36,0
2026.51,0
2026.66,0
2026.82,0
2026.97,0
2027.12,1
2027.27,1
2027.43,1
2027.58,1
2027.73,1
2027.88,1
2028.04,1
2028.19,1
2028.34,1
2028.49,1
2028.65,1
2028.8,1
2028.95,1
2029.1,1
2029.25,1
2029.41,1
2029.56,1
2029.71,1
2029.86,1
2030.02,1
2030.17,1
2030.32,1
2030.47,1
2030.63,1
2030.78,1
2030.93,1
2031.08,1
2031.24,1
2031.39,1
2031.54,1
2031.69,1
2031.85,1
2032,1
2032.15,1
2032.3,1
2032.46,1
2032.61,1
2032.76,1
2032.91,1
2033.06,1
2033.22,1
2033.37,1
2033.52,1
2033.67,1
2033.83,1
2033.98,1
2034.13,1
2034.28,1
2034.44,1
2034.59,1
2034.74,1
2034.89,1
2035.05,1
2035.2,1
2035.35,1
2035.5,1
2035.66,1
2035.81,1
2035.96,1
2036.11,1
2036.27,1
2036.42,1
2036.57,1
2036.72,1
2036.87,1
2037.03,1
2037.18,1
2037.33,1
2037.48,1
2037.64,1
2037.79,1
2037.94,1
2038.09,1
2038.25,1
2038.4,1
2038.55,1
2038.7,1
2038.86,1
2039.01,1
2039.16,1
2039.31,1
2039.47,1
2039.62,1
2039.77,1
2039.92,1
2040.08,1
2040.23,1
2040.38,1
2040.53,1
2040.68,1
2040.84,1
2040.99,1
2041.14,1
2041.29,1
2041.45,1
2041.6,1
2041.75,1
2041.9,1
2042.06,1
2042.21,1
2042.36,1
2042.51,1
2042.67,1
2042.82,1
2042.97,1
2043.12,1
2043.28,1
2043.43,1
2043.58,1
2043.73,1
2043.89,1
2044.04,1
2044.19,1
2044.34,1
2044.49,1
2044.65,1
2044.8,1
2044.95,1
2045.1,1
2045.26,1
2045.41,1
2045.56,1
2045.71,1
2045.87,1
2046.02,1
2046.17,1
2046.32,1
2046.48,1
2046.63,1
2046.78,1
2046.93,1
2047.09,1
2047.24,1
2047.39,1
2047.54,1
2047.7,1
2047.85,1
2048,1
2048.15,1
2048.3,1
2048.46,1
2048.61,1
2048.76,1
2048.91,1
2049.07,1
2049.22,1
2049.37,1
2049.52,1
2049.68,1
2049.83,1
2049.98,1
2050.13,1
2050.29,1
2050.44,1
2050.59,1
2050.74,1
2050.9,1
2051.05,1
2051.2,1
2051.35,1
2051.51,1
2051.66,1
2051.81,1
2051.96,1
2052.11,1
2052.27,1
2052.42,1
2052.57,1
2052.72,1
2052.88,1
2053.03,1
2053.18,1
2053.33,1
2053.49,1
2053.64,1
2053.79,1
2053.94,1
2054.1,1
2054.25,1
2054.4,1
2054.55,1
2054.71,1
2054.86,1
2055.01,1
2055.16,1
2055.32,1
2055.47,1
2055.62,1
2055.77,1
2055.92,1
2056.08,1
2056.23,1
2056.38,1
2056.53,1
2056.69,1
2056.84,1
2056.99,1
2057.14,1
2057.3,1
2057.45,1
2057.6,1
2057.75,1
2057.91,1
2058.06,1
2058.21,1
2058.36,1
2058.52,1
2058.67,1
2058.82,1
2058.97,1
2059.13,1
2059.28,1
2059.43,1
2059.58,1
2059.73,1
2059.89,1
2060.04,1
2060.19,1
2060.34,1
2060.5,1
2060.65,1
2060.8,1
2060.95,1
2061.11,1
2061.26,1
2061.41,1
2061.56,1
2061.72,1
2061.87,1
