DEPTH,ZONE_NUM,VP,VS,RHO_OLD,GR,NPHI,RHO,SW,SWX,VPVS,IP,IS,VSH,RHOm,RHOf,PHI
2013.25,0,2294.7,876.9,2,91.88,0.49,,,,2.62,,,0.49,2.73,,
2013.41,0,2296.7,943,2.05,86.8,0.48,2.24,1,1,2.44,5144.85,2112.42,0.44,2.72,1.09,0.29
2013.56,0,2290.4,912.5,2.11,86,0.45,2.24,1,1,2.51,5135.74,2046.09,0.43,2.72,1.09,0.29
2013.71,0,2277.5,891.6,2.2,87.36,0.41,2.24,1,1,2.55,5107.98,1999.68,0.44,2.72,1.09,0.29
2013.86,0,2262,890.5,2.2,90.4,0.43,2.24,1,1,2.54,5067.02,1994.78,0.48,2.73,1.09,0.3
2014.01,0,2263.1,863.1,2.17,93.31,0.47,2.24,1,1,2.62,5063.48,1931.11,0.51,2.73,1.09,0.3
2014.17,0,2256.7,817.5,2.14,91.97,0.5,2.23,1,1,2.76,5041.47,1826.3,0.49,2.73,1.09,0.3
2014.32,0,2248.9,810.6,2.13,88.63,0.47,2.23,1,1,2.77,5023.6,1810.72,0.46,2.72,1.09,0.3
2014.47,0,2239.1,790.2,2.14,84.58,0.42,2.23,1,1,2.83,4998.3,1763.95,0.41,2.72,1.09,0.3
2014.62,0,2242.9,725.3,2.2,84.59,0.41,2.23,1,1,3.09,5002.27,1617.61,0.41,2.72,1.09,0.3
2014.78,0,2234.6,725.3,2.21,84.49,0.44,2.23,1,1,3.08,4979.55,1616.25,0.41,2.72,1.09,0.3
2014.93,0,2195.6,688.8,2.19,86.19,0.51,2.23,1,1,3.19,4892.71,1534.93,0.43,2.72,1.09,0.3
2015.08,0,2181.8,762.2,2.14,83.51,0.53,2.22,1,1,2.86,4849.98,1694.31,0.4,2.71,1.09,0.3
2015.23,0,2181.4,748.4,2.08,85.34,0.53,2.22,1,1,2.91,4833.94,1658.44,0.42,2.72,1.09,0.31
2015.39,0,2200,766.7,2.07,80.93,0.51,2.21,1,1,2.87,4870.8,1697.47,0.37,2.71,1.09,0.31
2015.54,0,2206.8,787.5,2.08,83.62,0.48,2.22,1,1,2.8,4890.14,1745.05,0.4,2.71,1.09,0.31
2015.69,0,2210.4,789.5,2.09,84.59,0.49,2.22,1,1,2.8,4905.89,1752.26,0.41,2.72,1.09,0.31
2015.84,0,2261.8,851.5,2.07,88.99,0.5,2.22,1,1,2.66,5022.18,1890.7,0.46,2.72,1.09,0.31
2016,0,2271.4,860.7,2.07,90.14,0.51,2.23,1,1,2.64,5058.95,1916.99,0.47,2.73,1.09,0.3
2016.15,0,2293.2,835,2.09,89.56,0.49,2.23,1,1,2.75,5124.12,1865.79,0.47,2.72,1.09,0.3
2016.3,0,2351,864.3,2.11,88.63,0.47,2.24,1,1,2.72,5256.95,1932.62,0.46,2.72,1.09,0.3
2016.45,0,2360.9,865.2,2.12,88.78,0.45,2.25,1,1,2.73,5301.93,1943,0.46,2.72,1.09,0.29
2016.61,0,2336.2,917,2.16,89.39,0.42,2.26,1,1,2.55,5270.73,2068.85,0.47,2.72,1.09,0.29
2016.76,0,2346.3,870.8,2.09,87.33,0.45,2.26,1,1,2.69,5293.86,1964.75,0.44,2.72,1.09,0.28
2016.91,0,2278.7,859.3,2.04,88.05,0.47,2.25,1,1,2.65,5132.34,1935.41,0.45,2.72,1.09,0.29
2017.06,0,2289.1,834.5,2,87.23,0.49,2.25,1,1,2.74,5149.72,1877.35,0.44,2.72,1.09,0.29
2017.22,0,2294.4,835.4,2.07,88.72,0.46,2.24,1,1,2.75,5135.91,1870.01,0.46,2.72,1.09,0.3
2017.37,0,2461.8,892.7,2.09,90.26,0.45,2.24,1,1,2.76,5517.73,2000.84,0.48,2.73,1.09,0.3
2017.52,0,2495.4,886.7,2.09,91.11,0.45,2.25,1,1,2.81,5614.65,1995.08,0.48,2.73,1.09,0.29
2017.67,0,2518.7,905.4,2.11,93.14,0.46,2.28,1,1,2.78,5754.97,2068.74,0.51,2.73,1.09,0.27
2017.82,0,2400.8,951.1,2.1,90.38,0.47,2.29,1,1,2.52,5500.81,2179.2,0.48,2.73,1.09,0.27
2017.98,0,2515.6,942.5,2.12,90.19,0.49,2.28,1,1,2.67,5747.08,2153.21,0.47,2.73,1.09,0.27
2018.13,0,2365.5,944.9,2.16,88.83,0.47,2.28,1,1,2.5,5383.16,2150.31,0.46,2.72,1.09,0.27
2018.28,0,2331.2,871.6,2.19,82.33,0.45,2.28,1,1,2.67,5314.32,1986.94,0.39,2.71,1.09,0.27
2018.43,0,2263.7,890.5,2.23,77.37,0.41,2.26,1,1,2.54,5107.47,2009.19,0.33,2.7,1.09,0.28
2018.59,0,2255.9,871.8,2.22,72.79,0.47,2.24,1,1,2.59,5061.39,1955.99,0.28,2.69,1.09,0.28
2018.74,0,2203,857.7,2.19,77.59,0.47,2.23,1,1,2.57,4920.64,1915.76,0.33,2.7,1.09,0.29
2018.89,0,2205.6,907.5,2.16,82.71,0.46,2.23,1,1,2.43,4910.96,2020.63,0.39,2.71,1.09,0.3
2019.04,0,2271.2,907.5,2.16,85.72,0.43,2.22,1,1,2.5,5040.29,2013.94,0.42,2.72,1.09,0.31
2019.2,0,2339.6,884.9,2.13,87.91,0.44,2.22,1,1,2.64,5193.87,1964.46,0.45,2.72,1.09,0.31
2019.35,0,2352.3,845.6,2.05,87.56,0.49,2.24,1,1,2.78,5279.26,1897.78,0.44,2.72,1.09,0.29
2019.5,0,2390.6,851.8,2.05,90.87,0.49,2.25,1,1,2.81,5389.65,1920.4,0.48,2.73,1.09,0.29
2019.65,0,2375.3,902.1,2.07,94.95,0.47,2.26,1,1,2.63,5364.41,2037.31,0.53,2.73,1.09,0.29
2019.81,0,2412.1,903.2,2.14,95.59,0.49,2.26,1,1,2.67,5462.97,2045.59,0.54,2.74,1.09,0.29
2019.96,0,2459.3,897.4,2.17,97.25,0.49,2.26,1,1,2.74,5568.68,2032.02,0.55,2.74,1.09,0.29
2020.11,0,2434.9,917.1,2.15,94.76,0.5,2.27,1,1,2.65,5530.12,2082.91,0.53,2.73,1.09,0.28
2020.26,0,2438.2,869.2,2.14,97.8,0.49,2.28,1,1,2.81,5557.68,1981.27,0.56,2.74,1.09,0.28
2020.42,0,2439.5,972.4,2.16,100.91,0.49,2.28,1,1,2.51,5552.3,2213.18,0.6,2.75,1.09,0.28
2020.57,0,2352.4,968.9,2.21,106.68,0.48,2.28,1,1,2.43,5354.86,2205.55,0.66,2.76,1.09,0.29
2020.72,0,2301.7,970.4,2.25,106.22,0.46,2.27,1,1,2.37,5231.06,2205.42,0.66,2.76,1.09,0.29
2020.87,0,2439.1,888.8,2.22,101.61,0.49,2.25,1,1,2.74,5491.96,2001.25,0.6,2.75,1.09,0.3
2021.03,0,2444.2,914,2.2,93.31,0.5,2.25,1,1,2.67,5505.03,2058.59,0.51,2.73,1.09,0.29
2021.18,0,2492.9,874.4,2.2,93.64,0.5,2.28,1,1,2.85,5677.3,1991.35,0.51,2.73,1.09,0.28
2021.33,0,2479.8,890.3,2.23,93.04,0.47,2.28,1,1,2.79,5657.17,2031.04,0.51,2.73,1.09,0.27
2021.48,0,2462.1,890.3,2.25,101.29,0.48,2.29,1,1,2.77,5632.7,2036.8,0.6,2.75,1.09,0.28
2021.63,0,2338.9,812.8,2.28,102.64,0.48,2.28,1,1,2.88,5344.28,1857.21,0.62,2.75,1.09,0.28
2021.79,0,2328.8,900.5,2.28,108.23,0.47,2.29,1,1,2.59,5328.83,2060.55,0.68,2.76,1.09,0.28
2021.94,0,2311.4,869.9,2.29,108.71,0.46,2.3,1,1,2.66,5309.24,1998.14,0.68,2.76,1.09,0.28
2022.09,0,2342.6,809.5,2.3,111.52,0.44,2.32,1,1,2.89,5435.39,1878.23,0.72,2.76,1.09,0.27
2022.24,0,2501.4,809.5,2.34,113.88,0.44,2.35,1,1,3.09,5868.83,1899.27,0.74,2.77,1.09,0.25
2022.4,0,2778.1,866.4,2.35,113.89,0.45,2.33,1,1,3.21,6479.99,2020.9,0.74,2.77,1.09,0.26
2022.55,0,2795.6,855.9,2.32,113.5,0.46,2.32,1,1,3.27,6497.26,1989.2,0.74,2.77,1.09,0.26
2022.7,0,2673.2,946.2,2.28,113.04,0.49,2.35,1,1,2.83,6287.55,2225.53,0.73,2.77,1.09,0.25
2022.85,0,2673.1,905.4,2.31,105.91,0.45,2.36,1,1,2.95,6308.65,2136.79,0.65,2.75,1.09,0.24
2023.01,0,2613.9,902.8,2.37,95.89,0.44,2.37,1,1,2.9,6200.52,2141.56,0.54,2.74,1.09,0.22
2023.16,0,2609,859.2,2.39,86.05,0.44,2.37,1,1,3.04,6176.91,2034.19,0.43,2.72,1.09,0.22
2023.31,0,2618.6,881,2.31,94.53,0.51,2.32,1,1,2.97,6065.85,2040.79,0.52,2.73,1.09,0.25
2023.46,0,2825.5,936.2,2.32,100.07,0.45,2.36,1,1,3.02,6654.89,2205.03,0.59,2.74,1.09,0.23
2023.62,0,2629.4,902.7,2.43,104.09,0.36,2.45,1,1,2.91,6446.76,2213.24,0.63,2.75,1.09,0.18
2023.77,0,2649.8,948.7,2.56,102.03,0.27,2.55,1,1,2.79,6744.45,2414.7,0.61,2.75,1.09,0.12
2023.92,0,2558.7,951.3,2.52,106.78,0.32,2.5,1,1,2.69,6394.68,2377.48,0.66,2.76,1.09,0.15
2024.07,0,2575.6,871.1,2.44,112.54,0.4,2.42,1,1,2.96,6224.39,2105.16,0.73,2.77,1.09,0.21
2024.23,0,2460.3,926.6,2.38,110.68,0.47,2.37,1,1,2.66,5835.48,2197.76,0.71,2.76,1.09,0.23
2024.38,0,2432,1005.6,2.35,104.95,0.49,2.35,1,1,2.42,5704.98,2358.94,0.64,2.75,1.09,0.24
2024.53,0,2414.5,901.5,2.33,95.57,0.47,2.33,1,1,2.68,5630.83,2102.38,0.54,2.74,1.09,0.25
2024.68,0,2384.1,900.1,2.33,91.74,0.45,2.31,1,1,2.65,5510.59,2080.48,0.49,2.73,1.09,0.25
2024.84,0,2420.5,890.5,2.29,91.14,0.46,2.3,1,1,2.72,5567.48,2048.27,0.49,2.73,1.09,0.26
2024.99,0,2418.4,894.3,2.33,93.58,0.5,2.37,1,1,2.7,5739.01,2122.23,0.51,2.73,1.09,0.22
2025.14,0,2504.6,992.9,2.43,90.72,0.47,2.48,1,1,2.52,6222.93,2466.96,0.48,2.73,1.09,0.15
2025.29,0,2409.2,875.1,2.56,90.18,0.44,2.53,1,1,2.75,6091.67,2212.69,0.47,2.73,1.09,0.12
2025.44,0,2406.1,875.1,2.49,92.32,0.41,2.45,1,1,2.75,5890.48,2142.37,0.5,2.73,1.09,0.17
2025.6,0,2567.7,902.5,2.32,99.08,0.44,2.32,1,1,2.85,5955.44,2093.23,0.58,2.74,1.09,0.26
2025.75,0,2429.2,945.8,2.16,101.74,0.48,2.29,1,1,2.57,5556.44,2163.38,0.61,2.75,1.09,0.28
2025.9,0,2725.8,1049.3,2.12,100.87,0.48,2.29,1,1,2.6,6241.21,2402.56,0.6,2.75,1.09,0.28
2026.05,0,2414.4,961.3,2.2,100.65,0.44,2.29,1,0.98,2.51,5534.35,2203.51,0.59,2.74,1.09,0.27
2026.21,0,2383.3,977.1,2.34,94.7,0.42,2.34,1,0.96,2.44,5587.25,2290.65,0.53,2.73,1.09,0.24
2026.36,0,2403.4,980.2,2.39,98.42,0.4,2.37,1,1,2.45,5693.53,2322.04,0.57,2.74,1.09,0.23
2026.51,0,2461.3,967.7,2.32,98.18,0.45,2.32,1,1,2.54,5704.04,2242.64,0.57,2.74,1.09,0.26
2026.66,0,2449.3,870.8,2.31,103.72,0.48,2.31,1,1,2.81,5659.82,2012.24,0.63,2.75,1.09,0.26
2026.82,0,2447,837.1,2.32,102.46,0.48,2.32,1,1,2.92,5676.28,1941.81,0.61,2.75,1.09,0.26
2026.97,0,2537,868.6,2.31,110.33,0.48,2.3,1,1,2.92,5837.54,1998.61,0.7,2.76,1.09,0.28
2027.12,1,2313.4,865.5,2.28,118.7,0.48,2.28,1,1,2.67,5280.22,1975.46,0.8,2.78,1.09,0.29
2027.27,1,2319.2,890.6,2.26,124.56,0.49,2.29,1,1,2.6,5311.36,2039.62,0.86,2.79,1.09,0.29
2027.43,1,2333.2,893.2,2.28,121.27,0.47,2.27,1,1,2.61,5291.65,2025.76,0.83,2.78,1.09,0.3
2027.58,1,2341.3,900.1,2.23,113.48,0.46,2.25,1,1,2.6,5266,2024.48,0.74,2.77,1.09,0.31
2027.73,1,2364.1,867,2.16,106.12,0.47,2.25,1,1,2.73,5323.05,1952.15,0.66,2.75,1.09,0.3
2027.88,1,2407.5,907,2.09,99.32,0.46,2.26,1,1,2.65,5430.11,2045.73,0.58,2.74,1.09,0.29
2028.04,1,2508.1,910.3,2.09,104.86,0.46,2.26,1,1,2.76,5674.73,2059.61,0.64,2.75,1.09,0.29
2028.19,1,2551.6,953,2.12,107.91,0.46,2.28,1,1,2.68,5816.53,2172.42,0.68,2.76,1.09,0.29
2028.34,1,2535.8,979.5,2.19,108.13,0.46,2.3,1,1,2.59,5823.83,2249.56,0.68,2.76,1.09,0.28
2028.49,1,2464.5,868.6,2.29,104.62,0.46,2.32,1,1,2.84,5708.73,2012.01,0.64,2.75,1.09,0.26
2028.65,1,2249.8,901.1,2.33,100.13,0.42,2.33,1,1,2.5,5242.7,2099.83,0.59,2.74,1.09,0.25
2028.8,1,2247.8,902.4,2.33,97.33,0.39,2.3,1,1,2.49,5171.4,2076.1,0.56,2.74,1.09,0.27
2028.95,1,2263.8,818,2.27,97.12,0.41,2.26,1,1,2.77,5122.98,1851.13,0.55,2.74,1.09,0.29
2029.1,1,2244.7,759.1,2.23,101.02,0.48,2.23,1,1,2.96,5012.52,1695.11,0.6,2.75,1.09,0.31
2029.25,1,2254,774.7,2.21,104.45,0.5,2.23,1,1,2.91,5036.45,1731.03,0.64,2.75,1.09,0.31
